date,variables,data
2022-10-11T15:00:00Z,ph,8.00092895658415
2022-10-11T15:30:00Z,temperature,26.35
2022-10-11T15:30:00Z,ph,8.00347801298112
2022-10-11T16:00:00Z,temperature,26.33
2022-10-11T16:00:00Z,ph,8.00272870434313
2022-10-11T16:30:00Z,temperature,26.35
2022-10-11T16:30:00Z,ph,8.00130130209331
2022-10-11T17:00:00Z,temperature,26.3
2022-10-11T17:00:00Z,ph,8.00228488944841
2022-10-11T17:30:00Z,temperature,26.33
2022-10-11T17:30:00Z,ph,8.00272870434313
2022-10-11T18:00:00Z,temperature,26.35
2022-10-11T18:00:00Z,ph,8.00402219070308
2022-10-11T18:30:00Z,temperature,26.33
2022-10-11T18:30:00Z,ph,8.00436134652987
2022-10-11T19:00:00Z,temperature,26.33
2022-10-11T19:00:00Z,ph,8.00164027621863
2022-10-11T19:30:00Z,temperature,26.3
2022-10-11T19:30:00Z,ph,8.00310129232109
2022-10-11T20:00:00Z,temperature,26.3
2022-10-11T20:00:00Z,ph,7.99956354653947
2022-10-11T20:30:00Z,temperature,26.28
2022-10-11T20:30:00Z,ph,7.99799739392934
2022-10-11T21:00:00Z,temperature,26.28
2022-10-11T21:00:00Z,ph,7.99935815626489
2022-10-11T21:30:00Z,temperature,26.26
2022-10-11T21:30:00Z,ph,7.99833622661463
2022-10-11T22:00:00Z,temperature,26.26
2022-10-11T22:00:00Z,ph,7.99833622661463
2022-10-11T22:30:00Z,temperature,26.28
2022-10-11T22:30:00Z,ph,7.99391510692271
2022-10-11T23:00:00Z,temperature,26.3
2022-10-11T23:00:00Z,ph,7.99085524923086
2022-10-11T23:30:00Z,temperature,26.3
2022-10-11T23:30:00Z,ph,7.99112738352176
2022-10-12T00:00:00Z,temperature,26.33
2022-10-12T00:00:00Z,ph,7.98993967388033
2022-10-12T00:30:00Z,temperature,26.33
2022-10-12T00:30:00Z,ph,7.98885124575584
2022-10-12T01:00:00Z,temperature,26.3
2022-10-12T01:00:00Z,ph,7.98949457777639
2022-10-12T01:30:00Z,temperature,26.3
2022-10-12T01:30:00Z,ph,7.99003884635818
2022-10-12T02:00:00Z,temperature,26.23
2022-10-12T02:00:00Z,ph,7.99408109695359
2022-10-12T02:30:00Z,temperature,26.21
2022-10-12T02:30:00Z,ph,7.99496415679991
2022-10-12T03:00:00Z,temperature,26.21
2022-10-12T03:00:00Z,ph,7.99605302121186
2022-10-12T03:30:00Z,temperature,26.18
2022-10-12T03:30:00Z,ph,7.99560835935956
2022-10-12T04:00:00Z,temperature,26.16
2022-10-12T04:00:00Z,ph,7.99594714561487
2022-10-12T04:30:00Z,temperature,26.16
2022-10-12T04:30:00Z,ph,7.99540262246405
2022-10-12T05:00:00Z,temperature,26.16
2022-10-12T05:00:00Z,ph,7.99540262246405
2022-10-12T05:30:00Z,temperature,26.13
2022-10-12T05:30:00Z,ph,7.99604697659609
2022-10-12T06:00:00Z,temperature,26.13
2022-10-12T06:00:00Z,ph,7.99495782113147
2022-10-12T06:30:00Z,temperature,26.13
2022-10-12T06:30:00Z,ph,7.99468553226532
2022-10-12T07:00:00Z,temperature,26.13
2022-10-12T07:00:00Z,ph,7.99414095453301
2022-10-12T07:30:00Z,temperature,26.13
2022-10-12T07:30:00Z,ph,7.99386866566686
2022-10-12T08:00:00Z,temperature,26.16
2022-10-12T08:00:00Z,ph,7.99322452986079
2022-10-12T08:30:00Z,temperature,26.18
2022-10-12T08:30:00Z,ph,7.99152470859032
2022-10-12T09:00:00Z,temperature,26.26
2022-10-12T09:00:00Z,ph,7.98663288884729
2022-10-12T09:30:00Z,temperature,26.23
2022-10-12T09:30:00Z,ph,7.97448284683809
2022-10-12T10:00:00Z,temperature,26.23
2022-10-12T10:00:00Z,ph,7.97284965932847
2022-10-12T10:30:00Z,temperature,26.23
2022-10-12T10:30:00Z,ph,7.97666043018426
2022-10-12T11:00:00Z,temperature,26.26
2022-10-12T11:00:00Z,ph,7.98499986497278
2022-10-12T11:30:00Z,temperature,26.38
2022-10-12T11:30:00Z,ph,7.98188464386272
2022-10-12T12:00:00Z,temperature,26.28
2022-10-12T12:00:00Z,ph,7.9843897705739
2022-10-12T12:30:00Z,temperature,26.21
2022-10-12T12:30:00Z,ph,7.98652545760733
2022-10-12T13:00:00Z,temperature,26.23
2022-10-12T13:00:00Z,ph,7.98591515940547
